 5.585639   9.93417  3.54 " 39Lam Ori"
 5.590556  -5.91000  2.77 " 44Iot Ori"
 5.603556  -1.20194  1.70 " 46Eps Ori"
 5.627417  21.14250  3.00 "123Zet Tau"
 5.560417 -62.48972  3.76 "   Bet Dor"
 5.645778  -2.60000  3.81 " 48Sig Ori"
 5.679306  -1.94278  2.05 " 50Zet Ori"
 5.660806 -34.07417  2.64 "   Alp Col"
 5.741056 -22.44833  3.60 " 13Gam Lep"
 5.782583 -14.82194  3.55 " 14Zet Lep"
 5.795944  -9.66972  2.06 " 53Kap Ori"
 5.858167  39.14861  3.97 " 32Nu  Aur"
 5.788083 -51.06639  3.85 "   Bet Pic"
 5.855361 -20.87917  3.81 " 15Del Lep"
 5.849333 -35.76833  3.12 "   Bet Col"
 5.919528   7.40694  0.50 " 58Alp Ori"
 5.992111  54.28472  3.72 " 33Del Aur"
 5.940083 -14.16778  3.71 " 16Eta Lep"
 5.992139  44.94750  1.90 " 34Bet Aur"
 5.995361  37.21250  2.62 " 37The Aur"
 5.985778 -42.81528  3.96 "   Eta Col"
 6.247944  22.50667  3.28 "  7Eta Gem"
 6.247583  -6.27472  3.98 "  5Gam Mon"
 6.338556 -30.06333  3.02 "  1Zet CMa"
 6.382667  22.51361  2.88 " 13Mu  Gem"
 6.378333 -17.95583  1.98 "  2Bet CMa"
 6.368556 -33.43639  3.85 "   Del Col"
 6.399194 -52.69583 -0.72 "   Alp Car"
 6.628528  16.39917  1.93 " 24Gam Gem"
 6.611389 -19.25583  3.95 "  7Nu 2CMa"
 6.629361 -43.19611  3.17 "   Nu  Pup"
 6.732194  25.13111  2.98 " 27Eps Gem"
 6.754833  12.89556  3.36 " 31Xi  Gem"
 6.752472 -16.71611 -1.46 "  9Alp CMa"
 6.830694 -32.50861  3.96 " 13Kap CMa"
 6.879806  33.96111  3.60 " 34The Gem"
 6.803167 -61.94139  3.27 "   Alp Pic"
 6.832278 -50.61472  2.93 "   Tau Pup"
 6.902194 -24.18389  3.87 " 16Omi1CMa"
 6.977083 -28.97222  1.50 " 21Eps CMa"
 7.028639 -27.93472  3.47 " 22Sig CMa"
 7.068472  20.57028  3.79 " 43Zet Gem"
 7.050417 -23.83333  3.02 " 24Omi2CMa"
 7.139861 -26.39333  1.84 " 25Del CMa"
 7.145806 -70.49889  3.78 "   Gam2Vol"
 7.246861 -26.77278  3.85 " 28Ome CMa"
 7.301556  16.54028  3.58 " 54Lam Gem"
 7.285722 -37.09750  2.70 "   Pi  Pup"
